"pattern_name","filename","originator","pattern_type","image_source_url","image_source","status"
"Brush Popper","brush-popper.webp","","popper","https://assets.orvis.com/is/image/orvisprd/3R7C059W_?wid=1280&src=is($object$:1-1)&qlt=85&resMode=sharp2&op_usm=1.75,0.3,2,0","Orvis product photo — Mylar Popper saltwater fly, clean white background (closest generic saltwater popper available)","ok"
"Bunny Anchovy","","","baitfish","","No specific photo found; Honduras regional pattern not commercially sold","no_url"
"Bunny Bone","bunny-bone.jpg","","shrimp","https://www.saltwaterflies.com/bunny_bone_side.jpg","SaltwaterFlies.com dedicated Bunny Bone product page — clean side profile photo","ok"
"Cam Sigler Big Game Tube Fly (Tandem Rigged)","cam-sigler-big-game-tube-fly-tandem-rigged.jpg","Cam Sigler (1990s)","streamer","https://cdn.shoplightspeed.com/shops/618341/files/52598621/1500x4000x3/cam-sigler-cam-sigler-big-game-tube-flies-unrigged.jpg","royaltreatmentflyfishing.com — fly shop commercial product photo of actual Cam Sigler Big Game Tube Flies","ok"
"Cam Sigler Mega Marlin Tube Fly","cam-sigler-mega-marlin-tube-fly.jpg","Cam Sigler (2000s)","streamer","https://www.camsigler.com/flies/MegaMarlinLg.JPG","camsigler.com — originator's own website, correctly labeled Mega Marlin fly","ok"
"Candy — Pelagic","candy-pelagic.jpg","Stephen Chatterton","baitfish","https://fishonfly.com.au/wp-content/uploads/2019/03/candy-pelagics.jpg","fishonfly.com.au — Stephen Chatterton's own fly tying website, article titled 'Candy – pelagic'","ok"
"Casa Blanca Crab (Cuban)","casa-blanca-crab-cuban.jpg","","crab","https://fishtalesflyshop.com/cdn/shop/files/aqua_flies_casa_blanca_crab_saltwater_flats_fly_white.jpg?v=1743795785&width=600","fishtalesflyshop.com — fly shop commercial product photo of Casa Blanca Crab; note this is a generic variant, not verified as the specific Cuban version","ok"
"Casa Blanca Raghead","casa-blanca-raghead.jpg","","crab","https://redsflyfishing.com/cdn/shop/products/iCB003t_a3eb5546-fe6e-4fa3-adb6-ed43e59f2041_813x700.jpg?v=1607026877","Red's Fly Shop product photo — Casa Blanca Raghead Crab by Rainy's, clean side profile","ok"
"Cayman Sleek","","","shrimp","","No verifiable photo found for this specific named pattern","no_url"
"CF Baitfish","cf-baitfish.jpg","","baitfish","https://www.theflyfishers.com/Content/files/ProductImages/0000001734.jpg?width=1000&height=800&mode=max","The Fly Fishers shop product photo of CF Baitfish fly on plain background","ok"
"Chatto's Baitfish","","Stephen Chatterton","baitfish","","No specific photo found; regional Queensland tier pattern with limited online presence","no_url"
"Chernobyl Crab","chernobyl-crab.jpg","","crab","http://jacksonholeflycompany.com/cdn/shop/products/chernobyl-crab-or-jackson-hole-fly-company.jpg?v=1721402298","Jackson Hole Fly Company overhead product shot on neutral background","ok"
"Chicone's Crusher Leg Gotcha","chicones-crusher-leg-gotcha.jpg","Drew Chicone","shrimp","https://www.saltyflytying.com/cdn/shop/products/new-crusher-legs-fly1_1024x1024@2x.jpg?v=1595849118","SaltyFlyTying.com — Chicone's Crusher Legs fly finished product, clean square background","ok"
"Chicone's Disco Shrimp","chicones-disco-shrimp.jpg","Drew Chicone","attractor","https://cdn.shopify.com/s/files/1/0022/7298/5154/files/disco-shrimp-tan-cmyk__95862.jpg?v=1744484094","Salt Fly Pro (saltflypro.com) — Umpqua Disco Shrimp Chicone Tan product listing","ok"
"Chicone's Optical Illusion","chicones-optical-illusion.jpg","Drew Chicone","shrimp","https://blog.saltyflytying.com/wp-content/uploads/2013/03/Tranqu-Hill-izer.jpg","SaltyFlyTying blog — Drew Chicone fly tying photo (Chicone pattern, not confirmed as Optical Illusion specifically)","ok"
"Chili Pepper","chili-pepper.jpg","Moana Koffe","shrimp","https://www.saltwaterflies.com/chili_pepper_bc_eye_side.jpg","SaltwaterFlies.com — Moana's Chili Pepper bonefish fly, side profile with bead-chain eyes","ok"
"Christmas Island Special","christmas-island-special.gif","Randall Kaufmann","shrimp","https://alaskaflyfishinggoods.com/wp-content/uploads/product_images/cxsp_orange.gif","Alaska Fly Fishing Goods product photo, orange Christmas Island Special on plain background","ok"
"Clouser Deep Minnow","clouser-deep-minnow.jpg","Bob Clouser (mid-1980s)","baitfish","https://clousersflyfishing.com/cdn/shop/files/0d8a5bf2700850ddec227adc59d8e8a8.jpg?v=1700235655","Clouser's own fly fishing shop — Clouser Minnow for Bonefish, source shop","ok"
"Clouser Swimming Nymph / Bendback","clouser-swimming-nymph-bendback.jpg","Bob Clouser","other","http://clousersflyfishing.com/cdn/shop/files/IMG_9121.jpg?v=1740748935","Clouser's Fly Shop — Clouser Swimming Nymph, the originator's own shop photo","ok"
"Cockroach","cockroach.png","Norman Duncan (early 1960s)","streamer","http://catalog.theflyshop.com/cdn/shop/files/292F_Cockroach.png?v=1769535469","The Fly Shop catalog — clean square product photo of the Cockroach on white background","ok"
"Cowen's Coyote","cowens-coyote.jpg","Henry Cowen (early 2000s)","attractor","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/1280x1280/products/11528/10829/Coyote_Cowens_BluCharWht__42076.1574077695.jpg?c=2","umpqua.com — commercial manufacturer product photo, white background, correctly labeled Cowen's Coyote","ok"
"Cowen's Magnum Baitfish","cowens-magnum-baitfish.jpg","Henry Cowen","baitfish","https://www.henrycowenflyfishing.com/flies_files/CowensBaitfish.jpg","HenryCowenFlyfishing.com — originator's own site, direct photo of Cowen's Baitfish","ok"
"Craven's Bonefish Junk","cravens-bonefish-junk.jpg","Charlie Craven","shrimp","http://charliesflybox.com/cdn/shop/files/BonefishJunk_Craven_s.jpg?v=1770407465","charliesflybox.com — Charlie Craven's own fly shop product photo","ok"
"Crazy Charlie","crazy-charlie.jpg","Charlie Smith / Bob Nauheim (1977)","shrimp","https://upload.wikimedia.org/wikipedia/commons/1/15/Crazy_Charlie_White.jpg","Wikipedia commons high-resolution white Crazy Charlie fly on clean background, authoritative reference","ok"
"Crease Fly","crease-fly.jpg","Joe Blados","popper","https://bearsden.com/cdn/shop/products/Creasefly_black__09152_1800x1800.jpg?v=1657826623","Bear's Den Fly Fishing — Umpqua Blados' Crease Fly, clean white background","ok"
"Crystal Popper","crystal-popper.png","Bob Popovics","popper","https://s.turbifycdn.com/aah/yhst-17105658520519/crystal-popper-92.png","Caddis Fly Shop — Crystal Popper from Solitude Fly Co., product photo transparent background","ok"
"Crystal Schminnow","crystal-schminnow.jpg","Capt. Norm Zeigler","shrimp","https://www.superflies.com/wp-content/uploads/2021/06/norms-crystal-sanibel-schminnow-superflies.jpg","Superflies.com product photo of Norm's Crystal Schminnow — clear side profile on neutral background","ok"
"Cuban Mantis Shrimp","cuban-mantis-shrimp.jpg","","mantis","https://www.saltwaterflies.com/veverkas_mantis.jpg","saltwaterflies.com — authoritative fly retailer; shows Veverka Mantis Shrimp, a closely related Cuban mantis pattern; no specific Cuban Mantis Shrimp product photo found","ok"
"Cubera Diver (Dahlberg Style)","cubera-diver-dahlberg-style.jpg","Ed Truter (rec. c. 2015)","streamer","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/500x659/products/11362/10511/diving-bug-dahlberg-frog__50122.1574076492.jpg?c=2","Umpqua Feather Merchants — Dahlberg Diving Bug (Frog)","ok"
"Cuda Fly","cuda-fly.jpg","","streamer","https://www.theflyfishers.com/Content/files/ProductImages/Nightmare%20Needlefish.jpg?width=1000&height=800&mode=max","The Fly Fishers shop — Nightmare Needlefish, closest named-pattern commercial needlefish fly with clean presentation","ok"
"Dahlberg Diver","dahlberg-diver.jpg","Larry Dahlberg","popper","https://ahrexhooks.com/wp-content/uploads/2022/11/Multi-Colour-Diver-by-TP610-by-Andreas-Andersson-03-1024x792.jpg","Ahrex Hooks Dahlberg Diver tying article, high-quality photo of finished deer-hair diver","ok"
"Deceiver (Heavy Wire / Bluefish Variant)","deceiver-heavy-wire-bluefish-variant.jpg","Lefty Kreh","streamer","https://bigyflyco.com/cdn/shop/files/20260317_142416.jpg?v=1773784996&width=1946","Big Y Fly Co — Lefty's Deceiver professional product photo","ok"
"Del Brown's Permit Fly (Merkin)","del-browns-permit-fly-merkin.webp","Del Brown / Steve Huff","crab","https://assets.orvis.com/is/image/orvisprd/29KX009W_?wid=1024&src=is($object$:1-1)&qlt=85&resMode=sharp2&op_usm=1.75,0.3,2,0","Orvis product photo — Merkin Crab permit fly, clean white background professional shot","ok"
"DMA (Dark Marabou Anchovy)","","Conrad Botes (c. 2015)","baitfish","","No specific DMA image found; pattern referenced in The Mission Fly Fishing Magazine and Tourette Fishing but no product photography retrieved","no_url"
"Dogtooth Tuna Tube Fly","dogtooth-tuna-tube-fly.jpg","","baitfish","https://flyfishingmaldives.com/wp-content/uploads/2021/09/Huchen-tube-fly-flash.jpg","flyfishingmaldives.com — tube fly product for Maldives dogtooth tuna fishing","ok"
"Drum Beater","drum-beater.jpg","","crab","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/1280x1280/products/11512/17132/Drum-beater-olive-pink__94615.1771544205.jpg?c=2","Umpqua Feather Merchants official product photo — clean white background, clear side profile","ok"
"EP Anchovy","ep-anchovy.jpg","Enrico Puglisi","baitfish","https://www.tridentflyfishing.com/cdn/shop/files/enrico-puglisi-flies-ep-anchovy-fly-1199965200.jpg?v=1761731656&width=1920","Trident Fly Fishing shop — EP Anchovy Fly product photo, professional full-resolution","ok"
"EP Backcountry Baitfish","ep-backcountry-baitfish.jpg","Enrico Puglisi","baitfish","https://www.saltwaterflies.com/ep_backcountry_brown_orange.jpg","SaltwaterFlies.com product photo of EP Backcountry Baitfish in brown/orange on white","ok"
"EP Baitfish","ep-baitfish.jpg","Enrico Puglisi (early 1990s)","baitfish","https://feather-craft.com/cdn/shop/files/enrico-puglisi-enrico-puglisi-baitfish-imitations-20-2319430.jpg?v=1773344354&width=600","Feather Craft Fly Fishing — Enrico Puglisi Baitfish Imitations product photo","ok"
"EP Crab","ep-crab.jpg","Enrico Puglisi","crab","https://i.tackledirect.com/images/imgfull/enrico-puglisi-ep-permit-crab-saltwater-fly.jpg","TackleDirect — Enrico Puglisi EP Permit Crab, white background professional product photo","ok"
"EP Ghost Shrimp","ep-ghost-shrimp.jpg","Enrico Puglisi","shrimp","https://www.saltwaterflies.com/ghost_shrimp_tan.jpg","SaltwaterFlies.com product listing — clean side profile photo of EP Ghost Shrimp in tan","ok"
"EP GT's Sardina","ep-gts-sardina.jpg","Enrico Puglisi","baitfish","http://saltflypro.com/cdn/shop/files/EPGTSardina_3b047cec-ab0c-478e-ad7b-851a78fcdda0.jpg?v=1755053370","Salt Fly Pro shop — EP GT's Sardina 8/0, high-resolution product photo on white","ok"
"EP Micro Crab","ep-micro-crab.jpg","Enrico Puglisi","crab","https://www.saltwaterflies.com/ep_micro_crab.jpg","SaltwaterFlies.com product photo of EP Micro Crab, clear side profile on white background","ok"
"EP Minnow / Mullet","ep-minnow-mullet.jpg","Enrico Puglisi","baitfish","http://www.tridentflyfishing.com/cdn/shop/files/enrico-puglisi-flies-ep-mullet-fly-1199941020.jpg?v=1761734060","Trident Fly Fishing — EP Mullet Fly clean product photo","ok"
"EP Mullet","ep-mullet.jpg","Enrico Puglisi","baitfish","http://www.tridentflyfishing.com/cdn/shop/files/enrico-puglisi-flies-ep-mullet-fly-1199941020.jpg?v=1761734060","Trident Fly Fishing — EP Mullet Fly, large professional product photo","ok"
"EP Peanut Butter","ep-peanut-butter.png","Enrico Puglisi (2000s)","baitfish","https://www.tridentflyfishing.com/cdn/shop/files/enrico-puglisi-flies-ep-peanut-butter-fly-1199965103.png?v=1761683533&width=2250","tridentflyfishing.com — professional fly shop commercial product photo, white background, correctly labeled EP Peanut Butter Fly","ok"
"EP Spawning Shrimp","ep-spawning-shrimp.jpg","Enrico Puglisi","shrimp","https://www.yellowdogflyfishing.com/cdn/shop/files/00SH-S03-4wg_1216x.jpg?v=1743537615","Yellow Dog Flyfishing product photo — EP Spawning Shrimp (Presentation Lead) in tan, clean square image","ok"
"Fatboy","","","streamer","","No specific photo found; Australian regional pattern not commercially photographed","no_url"
"Flaming Lamborghini","flaming-lamborghini.jpg","Fulling Mill","baitfish","https://cdn.shopify.com/s/files/1/0022/7298/5154/products/93545_6b94419c-f966-4808-86ee-d9d355ff3847.jpg?v=1547692578","Salt Fly Pro (saltflypro.com) — Flaming Lamborgini GT Fly #6/0, Fulling Mill product listing","ok"
"Flashtail Whistler","flashtail-whistler.jpg","Dan Blanton","streamer","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/1280x1280/products/11380/17164/Flashtail_Whistler_Blanton_RedYel__51108.1575587625.jpg?c=2","Umpqua Feather Merchants product photo — Flashtail Whistler in red/yellow, clean white background","ok"
"Flashy Profile","flashy-profile.jpg","","baitfish","https://themissionflymag.com/wp-content/uploads/2023/07/img-214.jpg","The Mission Fly Mag article photo of Howe-style Flashy Profile fly, clear image of finished pattern","ok"
"Fleeing Crab","fleeing-crab.jpg","","crab","http://saltflypro.com/cdn/shop/files/Cathys_Fleeing_Crab_Beck_Tan__21669.jpg?v=1744921104","Salt Fly Pro — Umpqua Cathy's Fleeing Crab professional product photo","ok"
"Flexo Crab","flexo-crab.jpg","InTheRiffle team","crab","https://www.ashlandflyshop.com/cdn/shop/products/IMG_7442_2000x.jpg?v=1479590539","Ashland Fly Shop — Flexo Crab permit fly pattern, high-resolution clean background","ok"
"Flymen Sailfish Fly (Tandem Pink/White Tube)","flymen-sailfish-fly-tandem-pink-white-tube.png","Flymen Fishing Company (2010s)","streamer","https://www.yellowdogflyfishing.com/cdn/shop/files/Screenshot2024-12-23at10.22.15AM_grande.png?v=1734981512","yellowdogflyfishing.com — authoritative fly travel retailer, product photo of Flymen Sailfish Fly in white/pink tandem tube configuration","ok"
"Gabon Surf Clouser","gabon-surf-clouser.jpg","","baitfish","https://www.saltwaterflies.com/classic_deep_olive_white.jpg","saltwaterflies.com — Clouser Deep Minnow olive/white saltwater pattern","ok"
"Game Changer","game-changer.jpg","Blane Chocklett","baitfish","https://images.north40.com/images/1247321-P/BA_tfp_blane_chocklett_s_feather_game_changer_flymen___1247321-P__.jpg?width=800&format=pjpg","House of Fly — Chocklett's Feather Game Changer, retail product photo showing articulated profile","ok"
"Gartside Gurgler","gartside-gurgler.jpg","Jack Gartside (1988)","gurgler","https://cdn.shopify.com/s/files/1/0569/0877/5562/files/Gurgler-074.jpg?v=1644514443","Charlie's Fly Box clear product photo of Gartside's Gurgler, side profile on white","ok"
"Generic Baitfish Pattern (Needlefish / Offshore)","generic-baitfish-pattern-needlefish-offshore.jpg","","baitfish","http://saltflypro.com/cdn/shop/products/GarfishNeedlefishfly.jpg?v=1611688601","Salt Fly Pro — Beech's Garfish (Needlefish) fly product photo, clean side profile","ok"
"Ghetto Super Fly","ghetto-super-fly.jpg","Makani Christensen (Fly Fish Hawaii / Keawe Adventures)","mantis","https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3864330897718180412","instagram.com — originator's own account showing Ghetto Super Fly 10-pack product; Instagram source, no commercial shop photo found","ok"
"Golden Knight","","Alphonse Fishing Co. / FlyzInc (Seychelles, c. 2016)","shrimp","","No specific photo found; Alphonse/FlyzInc guide fly with limited commercial photography","no_url"
"Got Milk (Rio)","","Rio Products","attractor","","No product image found for Rio Got Milk in retail fly shop databases (farbank.com, SaltFlyPro, BigTimeFLies, Orvis) — may be discontinued or catalog-only","no_url"
"Grand Slam Crab","grand-slam-crab.webp","","crab","https://assets.orvis.com/is/image/orvisprd/1X57019W_?wid=1280&src=is($object$:1-1)&qlt=85&resMode=sharp2&op_usm=1.75,0.3,2,0","Orvis official product photo of Grand Slam Crab on clean white background","ok"
"Greg's Flats Fly","gregs-flats-fly.jpg","Greg Miheve","other","https://flyfishsd.com/cdn/shop/articles/IMG_0267.jpg?v=1686269680&width=1600","Dakota Angler & Outfitter blog — Greg's Flats Fly editorial photo, excellent detail","ok"
"Grim Reaper","grim-reaper.jpg","","streamer","https://www.theflyfishers.com/Content/files/ProductImages/grim-reaper-fly-bp.jpg?width=1000&height=800&mode=max","The Fly Fishers shop product photo of Pat Ehlers' Grim Reaper, clear side profile","ok"
"Grocery Fly","grocery-fly.jpg","","baitfish","https://www.saltwaterflies.com/ep_roosterfish_sardina.jpg","SaltwaterFlies.com — Enrico's Roosterfish Sardina baitfish, closest match to Grocery Fly profile","ok"
"GT Brush Fly","gt-brush-fly.jpg","Tim Babich / FlyCastaway (Tan variant originator); broader GT brush tradition via South African Indian Ocean guides","baitfish","https://www.ashlandflyshop.com/cdn/shop/products/IMG_0121_2000x.jpg?v=1524179272","Ashland Fly Shop — Giant Trevally GT Brush Fly, high-resolution clean background","ok"
"GT Bus Ticket","gt-bus-ticket.jpg","Fulling Mill","baitfish","https://www.fullingmill.com/core/media/media.nl?id=39282&c=3752701&h=ZVOu4h6wg6218dxLHdzdV4G1evAoydxKBd-rMuK5i3INgj7Z","fullingmill.com — official Bus Ticket S6/0 product photo","ok"
"GT Flashy Profile","","","baitfish","","No specific photo found; generic Australian GT fly type without commercial identity","no_url"
"GT Mullet","gt-mullet.jpg","James Christmas","baitfish","https://cdn.shopify.com/s/files/1/0022/7298/5154/products/92545.jpg?v=1547661985","Salt Fly Pro (saltflypro.com) — GT Mullet #6/0, James Christmas / Fulling Mill product listing","ok"
"Gummy Minnow","gummy-minnow.jpg","Blane Chocklett (late 1990s)","baitfish","https://www.saltwaterflies.com/gummyminnow_pearl2.jpg","SaltwaterFlies.com product photo — clean side-profile shot on white/neutral background","ok"
"Gym Sock","gym-sock.jpg","Fulling Mill","baitfish","https://bigtimeflies.com/cdn/shop/products/gym-sock_700x.jpg?v=1669423376","bigtimeflies.com — Gym Sock 4/0 product photo","ok"
"Half and Half","half-and-half.jpg","Bob Clouser","baitfish","https://news.orvis.com/wp-content/uploads/2018/08/halfandhalf.jpg","Orvis News editorial photo of the Half and Half — clean, well-lit angled view","ok"
"Heavy Gabon Deceiver","heavy-gabon-deceiver.jpg","","baitfish","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/500x659/products/15802/21357/Deceiver-HD-Salt__23135.1613499828.jpg?c=2","Umpqua Feather Merchants — Deceiver HD Salt","ok"
"Hollow Fleye","hollow-fleye.jpg","Bob Popovics","baitfish","https://cdn.shopify.com/s/files/1/1865/3837/files/FFF-Bucktail-Hollow-Fleye-1_1024x1024.jpg?v=1679085829","All Points Fly Shop — Bucktail Hollow Fleye editorial product photo, sharp and well-lit","ok"
"Hot-Legs Crazy Charlie","","Fish-Bones Fly Fishing (Grand Cayman)","shrimp","","No specific Hot-Legs Crazy Charlie image found; Fish-Bones Cayman website not accessible; generic Crazy Charlie available but not an exact match","no_url"
"Indo-Pacific Triggerfish Crab","indo-pacific-triggerfish-crab.jpg","","crab","https://flyfishingmaldives.com/wp-content/uploads/2021/07/transparent-crab-maldives-fly-1024x768.jpg","flyfishingmaldives.com — crab fly for Maldives triggerfish and permit","ok"
"Isla Blanca Killer","","","crab","","No specific photo found; Honduras local guide pattern not commercially photographed","no_url"
"James Sand Prawn","","James Christmas (Alphonse Fishing Co., c. 2013)","shrimp","","No specific James Sand Prawn product image found in retail databases (SaltFlyPro, BigTimeFLies, Flycastaway) — specialist Alphonse pattern with limited commercial distribution","no_url"
"KIFF Pop Star","kiff-pop-star.png","KIFF Flies (designed for Seychelles guides, c. 2018)","popper","http://nervouswater.com.au/cdn/shop/products/Popstars_1200x1200.png?v=1675397707","nervouswater.com.au — KIFF PopStar Poppers official product photo","ok"
"Kinky Muddler (large sand eel/baitfish)","kinky-muddler-large-sand-eel-baitfish.jpg","","baitfish","https://calflyfisher.com/wp-content/uploads/2024/05/sadil_scott_feb2023_at_the_vise_1-1045x437.jpg","California Fly Fisher magazine at-the-vise feature photo of finished Kinky Muddler","ok"
"Kraken Crab","","Alphonse Fishing Company / Blue Safari guides (Seychelles)","crab","","No specific photo found; Seychelles guide fly with limited commercial distribution","no_url"
"Kung Fu Crab","","","crab","","No product image found; Fly Fishing Caribe website returned no imagery; not present in US retail fly shop databases searched","no_url"
"Kwan","kwan.jpg","Steve Farrar","shrimp","https://orlandooutfitters.com/cdn/shop/products/foxy-kwan-bc-2.jpg?v=1539707123","Orlando Outfitters — Foxy Kwan variant product photo on white background","ok"
"Large Mullet Imitation (White/Tan Baitfish)","","","baitfish","","No specific named-pattern photo found; pattern is a descriptive category rather than a named commercial fly","no_url"
"Large Pink Shrimp","","","shrimp","","No specific photo found; Nicaragua regional guide pattern not commercially photographed","no_url"
"LC Fiddler (Lowcountry Fiddler Crab)","","John H. Holbrook (Beaufort, SC, circa 2007)","crab","","No specific LC Fiddler image found; local Beaufort SC guide pattern with minimal commercial photography or retail listings","no_url"
"LC Shrimp (Lowcountry Shrimp)","lc-shrimp-lowcountry-shrimp.jpg","John H. Holbrook (Beaufort, SC, circa 2006)","shrimp","https://i.ytimg.com/vi/nir-j6xVLdM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLARAW7ftOKgnbY9a5PkdWt3EfX4Eg","YouTube — Low Country Shrimp fly tying tutorial video still","ok"
